ticker,expiry,option_type,strike,bid,ask,mid,lastPrice,volume,openInterest,impliedVolatility,days_to_expiry,T_years,log_moneyness,contractSymbol,spot,q,r_cc
AAPL,2026-09-04,put,275.0,0.36,0.43,0.395,0.36,80.0,715,0.2690502783203125,21,0.057534246575342465,-0.10658519600590138,AAPL260904P00275000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,put,280.0,0.51,0.57,0.54,0.54,72.0,1018,0.247077841796875,21,0.057534246575342465,-0.08856669050322304,AAPL260904P00280000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,put,285.0,0.8,0.89,0.845,0.83,99.0,1424,0.23413851806640623,21,0.057534246575342465,-0.07086711340382208,AAPL260904P00285000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,put,290.0,1.3,1.43,1.365,1.4,142.0,1133,0.22364057617187497,21,0.057534246575342465,-0.053475370691952864,AAPL260904P00290000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,put,295.0,2.1,2.3,2.2,2.22,286.0,719,0.21472953247070312,21,0.057534246575342465,-0.03638093733265284,AAPL260904P00295000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,put,300.0,3.45,3.7,3.575,3.6,475.0,2189,0.20966366516113277,21,0.057534246575342465,-0.01957381901627157,AAPL260904P00300000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,put,305.0,5.35,5.75,5.55,5.61,96.0,631,0.2074053869628906,21,0.057534246575342465,-0.003044517065060977,AAPL260904P00305000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,put,310.0,8.0,8.55,8.275,8.22,34.0,853,0.20917538879394526,21,0.057534246575342465,0.013216003806719358,AAPL260904P00310000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,put,315.0,10.65,12.45,11.55,11.91,69.0,501,0.2302933416748047,21,0.057534246575342465,0.02921634515316052,AAPL260904P00315000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,put,320.0,14.9,15.8,15.350000000000001,15.7,3.0,565,0.21131159790039059,21,0.057534246575342465,0.0449647021212995,AAPL260904P00320000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,put,325.0,18.5,20.5,19.5,19.93,1.0,105,0.23780059082031246,21,0.057534246575342465,0.06046888865726478,AAPL260904P00325000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,put,330.0,23.15,25.4,24.275,24.5,14.0,190,0.27027096923828126,21,0.057534246575342465,0.07573636078805325,AAPL260904P00330000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,put,335.0,28.05,30.4,29.225,31.53,20.0,196,0.3064034204101562,21,0.057534246575342465,0.09077423815259379,AAPL260904P00335000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-04,put,340.0,32.4,36.05,34.224999999999994,33.45,37.0,20,0.38269660278320305,21,0.057534246575342465,0.10558932393773446,AAPL260904P00340000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-25,call,255.0,50.65,54.35,52.5,48.85,81.0,41,0.4942677526855469,42,0.11506849315068493,-0.18209274851404653,AAPL260925C00255000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-25,call,275.0,31.9,34.55,33.224999999999994,32.06,3.0,11,0.35144691528320304,42,0.11506849315068493,-0.10658519600590138,AAPL260925C00275000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-25,call,280.0,27.65,30.1,28.875,26.37,3.0,17,0.33197689514160156,42,0.11506849315068493,-0.08856669050322304,AAPL260925C00280000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-25,call,285.0,23.65,25.75,24.7,22.22,5.0,43,0.3120796331787109,42,0.11506849315068493,-0.07086711340382208,AAPL260925C00285000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-25,call,290.0,19.4,21.6,20.5,20.76,12.0,25,0.29395237304687494,42,0.11506849315068493,-0.053475370691952864,AAPL260925C00290000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-25,call,295.0,16.25,17.15,16.7,16.67,5.0,25,0.2630078582763672,42,0.11506849315068493,-0.03638093733265284,AAPL260925C00295000,305.92999267578125,0.0034648449821112104,0.037969931251628626
AAPL,2026-09-25,call,300.0,13.25,14.2,13.725,13.35,113.0,247,0.26474734283447265,42,0.11506849315068493,-0.01957381901627157,AAPL260925C00300000,305.92999267578125,0.0034648449821112104,0.037969931251628626
