ticker,expiry,strike,mid_call,mid_put,lhs,rhs,parity_gap
SPY,2026-09-30,656.0,107.875,0.98,106.895,122.57119751532969,-15.67619751532969
SPY,2026-09-30,657.0,122.18,0.995,121.185,121.57607486108066,-0.3910748610806536
SPY,2026-09-30,659.0,120.215,1.025,119.19,119.5858295525826,-0.39582955258259744
SPY,2026-09-30,660.0,119.23,1.04,118.19,118.59070689833356,-0.4007068983335671
SPY,2026-09-30,661.0,118.25,1.0550000000000002,117.195,117.59558424408453,-0.4005842440845413
SPY,2026-09-30,662.0,117.265,1.07,116.19500000000001,116.6004615898355,-0.40546158983549674
SPY,2026-09-30,663.0,84.965,1.085,83.88000000000001,115.60533893558647,-31.725338935586464
SPY,2026-09-30,664.0,115.3,1.1,114.2,114.61021628133744,-0.4102162813374406
SPY,2026-09-30,665.0,114.32,1.12,113.19999999999999,113.61509362708841,-0.41509362708842445
SPY,2026-09-30,666.0,113.34,1.1349999999999998,112.205,112.61997097283938,-0.41497097283938444
SPY,2026-09-30,667.0,112.36,1.15,111.21,111.62484831859035,-0.41484831859035864
SPY,2026-09-30,668.0,111.38,1.17,110.21,110.62972566434132,-0.4197256643413283
SPY,2026-09-30,669.0,110.4,1.19,109.21000000000001,109.63460301009229,-0.42460301009228374
SPY,2026-09-30,670.0,109.42,1.205,108.215,108.63948035584326,-0.42448035584325794
SPY,2026-09-30,671.0,108.44,1.225,107.215,107.64435770159423,-0.4293577015942276
SPY,2026-09-30,672.0,107.46,1.245,106.21499999999999,106.6492350473452,-0.43423504734521146
SPY,2026-09-30,673.0,106.48,1.26,105.22,105.65411239309617,-0.43411239309617144
SPY,2026-09-30,674.0,105.5,1.28,104.22,104.65898973884714,-0.4389897388471411
SPY,2026-09-30,675.0,104.52,1.3050000000000002,103.21499999999999,103.66386708459811,-0.4488670845981204
SPY,2026-09-30,676.0,103.545,1.3250000000000002,102.22,102.6687444303492,-0.4487444303491941
SPY,2026-09-30,677.0,102.565,1.3450000000000002,101.22,101.67362177610016,-0.45362177610016374
SPY,2026-09-30,678.0,101.59,1.3650000000000002,100.22500000000001,100.67849912185113,-0.45349912185112373
SPY,2026-09-30,679.0,100.61,1.39,99.22,99.6833764676021,-0.46337646760210305
SPY,2026-09-30,680.0,99.635,1.41,98.22500000000001,98.68825381335307,-0.46325381335306304
SPY,2026-09-30,681.0,98.66,1.435,97.225,97.69313115910404,-0.4681311591040469
SPY,2026-09-30,682.0,97.685,1.46,96.22500000000001,96.69800850485501,-0.47300850485500234
SPY,2026-09-30,683.0,96.71,1.48,95.22999999999999,95.70288585060598,-0.47288585060599075
SPY,2026-09-30,684.0,95.735,1.51,94.225,94.70776319635695,-0.48276319635695586
SPY,2026-09-30,685.0,94.76,1.53,93.23,93.71264054210792,-0.48264054210791585
SPY,2026-09-30,686.0,93.79,1.56,92.23,92.71751788785889,-0.4875178878588855
SPY,2026-09-30,687.0,92.815,1.585,91.23,91.72239523360986,-0.49239523360985515
SPY,2026-09-30,688.0,91.84,1.61,90.23,90.72727257936083,-0.4972725793608248
SPY,2026-09-30,689.0,90.87,1.64,89.23,89.7321499251118,-0.5021499251117945
SPY,2026-09-30,690.0,89.9,1.67,88.23,88.73702727086277,-0.5070272708627641
SPY,2026-09-30,691.0,88.93,1.7,87.23,87.74190461661374,-0.5119046166137338
SPY,2026-09-30,692.0,87.96000000000001,1.73,86.23,86.74678196236471,-0.5167819623647034
SPY,2026-09-30,695.0,85.055,1.82,83.23500000000001,83.76141399961762,-0.5264139996176027
SPY,2026-09-30,698.0,82.16,1.92,80.24,80.77604603687053,-0.5360460368705304
SPY,2026-09-30,700.0,80.22999999999999,1.99,78.24,78.78580072837246,-0.5458007283724697
SPY,2026-09-30,702.0,78.30000000000001,2.0700000000000003,76.23000000000002,76.7955554198744,-0.5655554198743857
SPY,2026-09-30,705.0,75.41999999999999,2.1900000000000004,73.22999999999999,73.81018745712731,-0.5801874571273231
SPY,2026-09-30,710.0,70.645,2.42,68.225,68.83457418588216,-0.6095741858821668
SPY,2026-09-30,711.0,69.695,2.465,67.22999999999999,67.83945153163313,-0.609451531633141
SPY,2026-09-30,715.0,65.895,2.675,63.22,63.85896091463701,-0.6389609146370105
SPY,2026-09-30,716.0,64.95,2.7300000000000004,62.22,62.86383826038798,-0.6438382603879802
SPY,2026-09-30,718.0,63.065,2.85,60.214999999999996,60.87359295189003,-0.6585929518900357
SPY,2026-09-30,720.0,61.11,2.975,58.135,58.88334764339197,-0.7483476433919733
SPY,2026-09-30,721.0,60.25,3.04,57.21,57.88822498914294,-0.6782249891429402
SPY,2026-09-30,722.0,59.31,3.105,56.205000000000005,56.89310233489391,-0.6881023348939053
SPY,2026-09-30,724.0,57.45,3.245,54.205000000000005,54.90285702639585,-0.6978570263958446
SPY,2026-09-30,725.0,56.52,3.3200000000000003,53.2,53.90773437214682,-0.7077343721468168
SPY,2026-09-30,726.0,55.59,3.395,52.195,52.91261171789779,-0.717611717897789
SPY,2026-09-30,727.0,54.665,3.475,51.19,51.91748906364876,-0.7274890636487612
SPY,2026-09-30,728.0,53.735,3.555,50.18,50.92236640939973,-0.7423664093997289
SPY,2026-09-30,730.0,51.97,3.72,48.25,48.93212110090167,-0.6821211009016679
SPY,2026-09-30,731.0,50.98,3.81,47.169999999999995,47.93699844665264,-0.7669984466526429
SPY,2026-09-30,732.0,50.065,3.9,46.165,46.94187579240361,-0.776875792403608
SPY,2026-09-30,733.0,49.155,3.995,45.160000000000004,45.94675313815458,-0.7867531381545732
SPY,2026-09-30,734.0,48.25,4.09,44.16,44.95163048390555,-0.7916304839055499
SPY,2026-09-30,735.0,47.35,4.19,43.160000000000004,43.956507829656516,-0.7965078296565125
SPY,2026-09-30,736.0,46.445,4.295,42.15,42.961385175407486,-0.8113851754074872
SPY,2026-09-30,737.0,45.55,4.395,41.155,41.966262521158455,-0.8112625211584543
SPY,2026-09-30,738.0,44.65,4.505,40.144999999999996,40.971139866909425,-0.8261398669094291
SPY,2026-09-30,739.0,43.760000000000005,4.625,39.135000000000005,39.976017212660395,-0.8410172126603896
SPY,2026-09-30,740.0,42.875,4.734999999999999,38.14,38.980894558411364,-0.8408945584113638
SPY,2026-09-30,741.0,41.985,4.859999999999999,37.125,37.985771904162334,-0.8607719041623341
SPY,2026-09-30,742.0,41.105,4.984999999999999,36.12,36.990649249913304,-0.8706492499133063
SPY,2026-09-30,743.0,40.23,5.115,35.114999999999995,35.99552659566427,-0.8805265956642785
SPY,2026-09-30,744.0,39.355,5.245,34.11,35.00040394141524,-0.8904039414152436
SPY,2026-09-30,745.0,38.475,5.385,33.09,34.00528128716621,-0.9152812871662093
SPY,2026-09-30,746.0,37.625,5.535,32.09,33.01015863291718,-0.9201586329171789
SPY,2026-09-30,747.0,36.765,5.68,31.085,32.01503597866815,-0.9300359786681511
SPY,2026-09-30,748.0,35.915,5.835,30.08,31.01991332441912,-0.9399133244191233
SPY,2026-09-30,749.0,35.065,5.995,29.069999999999997,30.02479067017009,-0.9547906701700946
SPY,2026-09-30,750.0,34.59,6.154999999999999,28.435000000000002,29.02966801592106,-0.5946680159210587
SPY,2026-09-30,751.0,33.39,6.324999999999999,27.065,28.03454536167203,-0.9695453616720293
SPY,2026-09-30,752.0,32.56,6.505,26.055000000000003,27.039422707423,-0.984422707422997
SPY,2026-09-30,753.0,31.73,6.6850000000000005,25.045,26.04430005317397,-0.9993000531739682
SPY,2026-09-30,754.0,30.91,6.875,24.035,25.04917739892494,-1.0141773989249394
SPY,2026-09-30,755.0,30.005,7.074999999999999,22.93,24.05405474467591,-1.1240547446759095
SPY,2026-09-30,756.0,29.3,7.275,22.025,23.05893209042688,-1.0339320904268803
SPY,2026-09-30,757.0,28.505,7.49,21.015,22.06380943617785,-1.048809436177848
SPY,2026-09-30,758.0,27.71,7.705,20.005000000000003,21.068686781928932,-1.0636867819289293
SPY,2026-09-30,759.0,26.925,7.935,18.990000000000002,20.0735641276799,-1.0835641276798995
SPY,2026-09-30,760.0,26.095,8.165,17.93,19.07844147343087,-1.1484414734308714
SPY,2026-09-30,761.0,25.385,8.41,16.975,18.08331881918184,-1.1083188191818394
SPY,2026-09-30,762.0,24.625,8.665,15.96,17.08819616493281,-1.1281961649328096
SPY,2026-09-30,763.0,23.875,8.925,14.95,16.09307351068378,-1.1430735106837808
SPY,2026-09-30,764.0,23.135,9.195,13.940000000000001,15.09795085643475,-1.1579508564347485
